[ 1920년-2100년 24기 입기 시각 ]
--------------------------------------------------------------------------------------------------------------------------------------------
역법과 연계된 24기 데이터의 특수성 때문에, 반올림 결과 날짜가 바뀌는 경우 날짜 변동 없이 24시 0분으로 표기됩니다. 
이 자료는 최신의 이론, 모델, 상수를 사용하여 계산된 것입니다. 하지만 지구 자전 속도는 예측할 수 없기 때문에, 미래로 갈수록 수 초에서 수분까지 달라질 수 있습니다. 이로 인해 미래의 실제 24기 날짜는 지금 계산과 다를 수 있습니다.

아래 모든 시각 데이터는 현재(2026년 9월 1일) KST(=UTC+9h) 기준이며, 과거 표준자오선 변경이나 써머타임은 고려하지 않음.
--------------------------------------------------------------------------------------------------------------------------------------------

<24기 구분>
 1: 입춘,  2: 우수,  3: 경칩,  4: 춘분,  5: 청명,  6: 곡우
12, 1949,  7, 23, 13, 57
13, 1949,  8,  8,  6, 15
14, 1949,  8, 23, 20, 48
15, 1949,  9,  8,  8, 54
16, 1949,  9, 23, 18,  6
17, 1949, 10,  9,  0, 11
18, 1949, 10, 24,  3,  3
19, 1949, 11,  8,  3,  0
20, 1949, 11, 23,  0, 16
21, 1949, 12,  7, 19, 33
22, 1949, 12, 22, 13, 23
23, 1950,  1,  6,  6, 39
24, 1950,  1, 20, 24,  0
 1, 1950,  2,  4, 18, 21
 2, 1950,  2, 19, 14, 17
 3, 1950,  3,  6, 12, 35
 4, 1950,  3, 21, 13, 35
 5, 1950,  4,  5, 17, 44
 6, 1950,  4, 21,  0, 59
 7, 1950,  5,  6, 11, 25
 8, 1950,  5, 22,  0, 27
 9, 1950,  6,  6, 15, 51
10, 1950,  6, 22,  8, 36
11, 1950,  7,  8,  2, 13
12, 1950,  7, 23, 19, 30
13, 1950,  8,  8, 11, 55
14, 1950,  8, 24,  2, 23
15, 1950,  9,  8, 14, 34
16, 1950,  9, 23, 23, 44
17, 1950, 10,  9,  5, 52
18, 1950, 10, 24,  8, 45
19, 1950, 11,  8,  8, 44
20, 1950, 11, 23,  6,  2
21, 1950, 12,  8,  1, 22
22, 1950, 12, 22, 19, 13
23, 1951,  1,  6, 12, 30
24, 1951,  1, 21,  5, 52
 1, 1951,  2,  5,  0, 13
 2, 1951,  2, 19, 20, 10
 3, 1951,  3,  6, 18, 27
 4, 1951,  3, 21, 19, 26
 5, 1951,  4,  5, 23, 33
 6, 1951,  4, 21,  6, 48
 7, 1951,  5,  6, 17,  9
 8, 1951,  5, 22,  6, 15
 9, 1951,  6,  6, 21, 33
10, 1951,  6, 22, 14, 25
11, 1951,  7,  8,  7, 54
12, 1951,  7, 24,  1, 21
13, 1951,  8,  8, 17, 37
14, 1951,  8, 24,  8, 16
15, 1951,  9,  8, 20, 18
16, 1951,  9, 24,  5, 37
17, 1951, 10,  9, 11, 36
18, 1951, 10, 24, 14, 36
19, 1951, 11,  8, 14, 27
20, 1951, 11, 23, 11, 51
21, 1951, 12,  8,  7,  2
22, 1951, 12, 23,  1,  0
23, 1952,  1,  6, 18, 10
24, 1952,  1, 21, 11, 38
 1, 1952,  2,  5,  5, 53
 2, 1952,  2, 20,  1, 57
 3, 1952,  3,  6,  0,  7
 4, 1952,  3, 21,  1, 14
 5, 1952,  4,  5,  5, 15
 6, 1952,  4, 20, 12, 37
 7, 1952,  5,  5, 22, 54
 8, 1952,  5, 21, 12,  4
 9, 1952,  6,  6,  3, 20
10, 1952,  6, 21, 20, 13
11, 1952,  7,  7, 13, 45
12, 1952,  7, 23,  7,  7
13, 1952,  8,  7, 23, 31
14, 1952,  8, 23, 14,  3
15, 1952,  9,  8,  2, 14
16, 1952,  9, 23, 11, 24
17, 1952, 10,  8, 17, 32
18, 1952, 10, 23, 20, 22
19, 1952, 11,  7, 20, 22
20, 1952, 11, 22, 17, 36
21, 1952, 12,  7, 12, 56
22, 1952, 12, 22,  6, 43
23, 1953,  1,  6,  0,  2
24, 1953,  1, 20, 17, 21
 1, 1953,  2,  4, 11, 46
 2, 1953,  2, 19,  7, 41
 3, 1953,  3,  6,  6,  2
 4, 1953,  3, 21,  7,  0
 5, 1953,  4,  5, 11, 13
 6, 1953,  4, 20, 18, 25
 7, 1953,  5,  6,  4, 52
 8, 1953,  5, 21, 17, 53
 9, 1953,  6,  6,  9, 16
10, 1953,  6, 22,  2,  0
11, 1953,  7,  7, 19, 35
12, 1953,  7, 23, 12, 52
13, 1953,  8,  8,  5, 15
14, 1953,  8, 23, 19, 45
15, 1953,  9,  8,  7, 53
16, 1953,  9, 23, 17,  6
17, 1953, 10,  8, 23, 10
18, 1953, 10, 24,  2,  6
19, 1953, 11,  8,  2,  1
20, 1953, 11, 22, 23, 22
21, 1953, 12,  7, 18, 37
22, 1953, 12, 22, 12, 31
23, 1954,  1,  6,  5, 45
24, 1954,  1, 20, 23, 11
 1, 1954,  2,  4, 17, 31
 2, 1954,  2, 19, 13, 32
 3, 1954,  3,  6, 11, 49
 4, 1954,  3, 21, 12, 53
 5, 1954,  4,  5, 16, 59
 6, 1954,  4, 21,  0, 20
 7, 1954,  5,  6, 10, 38
 8, 1954,  5, 21, 23, 47
 9, 1954,  6,  6, 15,  1
10, 1954,  6, 22,  7, 54
11, 1954,  7,  8,  1, 19
12, 1954,  7, 23, 18, 45
13, 1954,  8,  8, 10, 59
14, 1954,  8, 24,  1, 36
15, 1954,  9,  8, 13, 38
16, 1954,  9, 23, 22, 55
17, 1954, 10,  9,  4, 57
18, 1954, 10, 24,  7, 56
19, 1954, 11,  8,  7, 51
20, 1954, 11, 23,  5, 14
21, 1954, 12,  8,  0, 29
22, 1954, 12, 22, 18, 24
23, 1955,  1,  6, 11, 36
24, 1955,  1, 21,  5,  2
 1, 1955,  2,  4, 23, 18
 2, 1955,  2, 19, 19, 19
 3, 1955,  3,  6, 17, 31
 4, 1955,  3, 21, 18, 35
 5, 1955,  4,  5, 22, 39
 6, 1955,  4, 21,  5, 58
 7, 1955,  5,  6, 16, 18
 8, 1955,  5, 22,  5, 24
 9, 1955,  6,  6, 20, 43
10, 1955,  6, 22, 13, 31
11, 1955,  7,  8,  7,  6
12, 1955,  7, 24,  0, 25
13, 1955,  8,  8, 16, 50
14, 1955,  8, 24,  7, 19
15, 1955,  9,  8, 19, 32
16, 1955,  9, 24,  4, 41
17, 1955, 10,  9, 10, 52
18, 1955, 10, 24, 13, 43
19, 1955, 11,  8, 13, 45
20, 1955, 11, 23, 11,  1
21, 1955, 12,  8,  6, 23
22, 1955, 12, 23,  0, 11
23, 1956,  1,  6, 17, 30
24, 1956,  1, 21, 10, 48
 1, 1956,  2,  5,  5, 12
 2, 1956,  2, 20,  1,  5
 3, 1956,  3,  5, 23, 24
 4, 1956,  3, 21,  0, 20
 5, 1956,  4,  5,  4, 31
 6, 1956,  4, 20, 11, 43
 7, 1956,  5,  5, 22, 10
 8, 1956,  5, 21, 11, 13
 9, 1956,  6,  6,  2, 36
10, 1956,  6, 21, 19, 24
11, 1956,  7,  7, 12, 58
12, 1956,  7, 23,  6, 20
13, 1956,  8,  7, 22, 40
14, 1956,  8, 23, 13, 15
15, 1956,  9,  8,  1, 19
16, 1956,  9, 23, 10, 35
17, 1956, 10,  8, 16, 36
18, 1956, 10, 23, 19, 34
19, 1956, 11,  7, 19, 26
20, 1956, 11, 22, 16, 50
21, 1956, 12,  7, 12,  2
22, 1956, 12, 22,  5, 59
23, 1957,  1,  5, 23, 10
24, 1957,  1, 20, 16, 39
 1, 1957,  2,  4, 10, 55
 2, 1957,  2, 19,  6, 58
 3, 1957,  3,  6,  5, 10
 4, 1957,  3, 21,  6, 16
 5, 1957,  4,  5, 10, 19
 6, 1957,  4, 20, 17, 41
 7, 1957,  5,  6,  3, 58
 8, 1957,  5, 21, 17, 10
 9, 1957,  6,  6,  8, 25
10, 1957,  6, 22,  1, 20
11, 1957,  7,  7, 18, 48
12, 1957,  7, 23, 12, 15
13, 1957,  8,  8,  4, 32
14, 1957,  8, 23, 19,  8
15, 1957,  9,  8,  7, 12
16, 1957,  9, 23, 16, 26
17, 1957, 10,  8, 22, 30
18, 1957, 10, 24,  1, 24
19, 1957, 11,  8,  1, 20
20, 1957, 11, 22, 22, 39
21, 1957, 12,  7, 17, 56
22, 1957, 12, 22, 11, 49
23, 1958,  1,  6,  5,  4
24, 1958,  1, 20, 22, 28
 1, 1958,  2,  4, 16, 49
 2, 1958,  2, 19, 12, 48
 3, 1958,  3,  6, 11,  5
 4, 1958,  3, 21, 12,  6
 5, 1958,  4,  5, 16, 12
 6, 1958,  4, 20, 23, 27
 7, 1958,  5,  6,  9, 49
 8, 1958,  5, 21, 22, 51
 9, 1958,  6,  6, 14, 12
10, 1958,  6, 22,  6, 57
11, 1958,  7,  8,  0, 33
12, 1958,  7, 23, 17, 50
13, 1958,  8,  8, 10, 17
14, 1958,  8, 24,  0, 46
15, 1958,  9,  8, 12, 59
16, 1958,  9, 23, 22,  9
17, 1958, 10,  9,  4, 19
18, 1958, 10, 24,  7, 11
19, 1958, 11,  8,  7, 12
20, 1958, 11, 23,  4, 29
21, 1958, 12,  7, 23, 50
22, 1958, 12, 22, 17, 40
23, 1959,  1,  6, 10, 58
24, 1959,  1, 21,  4, 19
 1, 1959,  2,  4, 22, 42
 2, 1959,  2, 19, 18, 38
 3, 1959,  3,  6, 16, 57
 4, 1959,  3, 21, 17, 54
 5, 1959,  4,  5, 22,  3
 6, 1959,  4, 21,  5, 16
 7, 1959,  5,  6, 15, 39
 8, 1959,  5, 22,  4, 42
 9, 1959,  6,  6, 20,  0
10, 1959,  6, 22, 12, 50
11, 1959,  7,  8,  6, 20
12, 1959,  7, 23, 23, 45
13, 1959,  8,  8, 16,  4
14, 1959,  8, 24,  6, 43
15, 1959,  9,  8, 18, 48
16, 1959,  9, 24,  4,  8
17, 1959, 10,  9, 10, 10
18, 1959, 10, 24, 13, 11
19, 1959, 11,  8, 13,  2
20, 1959, 11, 23, 10, 27
21, 1959, 12,  8,  5, 37
22, 1959, 12, 22, 23, 34
23, 1960,  1,  6, 16, 42
24, 1960,  1, 21, 10, 10
 1, 1960,  2,  5,  4, 23
 2, 1960,  2, 20,  0, 26
 3, 1960,  3,  5, 22, 36
 4, 1960,  3, 20, 23, 43
 5, 1960,  4,  5,  3, 44
 6, 1960,  4, 20, 11,  6
 7, 1960,  5,  5, 21, 23
 8, 1960,  5, 21, 10, 33
 9, 1960,  6,  6,  1, 49
10, 1960,  6, 21, 18, 42
11, 1960,  7,  7, 12, 13
12, 1960,  7, 23,  5, 37
13, 1960,  8,  7, 22,  0
14, 1960,  8, 23, 12, 34
15, 1960,  9,  8,  0, 45
16, 1960,  9, 23,  9, 59
17, 1960, 10,  8, 16,  9
18, 1960, 10, 23, 19,  2
19, 1960, 11,  7, 19,  2
20, 1960, 11, 22, 16, 18
21, 1960, 12,  7, 11, 38
22, 1960, 12, 22,  5, 26
23, 1961,  1,  5, 22, 43
24, 1961,  1, 20, 16,  1
 1, 1961,  2,  4, 10, 22
 2, 1961,  2, 19,  6, 16
 3, 1961,  3,  6,  4, 35
 4, 1961,  3, 21,  5, 32
 5, 1961,  4,  5,  9, 42
 6, 1961,  4, 20, 16, 55
 7, 1961,  5,  6,  3, 21
 8, 1961,  5, 21, 16, 22
 9, 1961,  6,  6,  7, 46
10, 1961,  6, 22,  0, 30
11, 1961,  7,  7, 18,  7
12, 1961,  7, 23, 11, 24
13, 1961,  8,  8,  3, 48
14, 1961,  8, 23, 18, 19
15, 1961,  9,  8,  6, 29
16, 1961,  9, 23, 15, 42
17, 1961, 10,  8, 21, 51
18, 1961, 10, 24,  0, 47
19, 1961, 11,  8,  0, 46
20, 1961, 11, 22, 22,  8
21, 1961, 12,  7, 17, 26
22, 1961, 12, 22, 11, 19
23, 1962,  1,  6,  4, 35
24, 1962,  1, 20, 21, 58
 1, 1962,  2,  4, 16, 17
 2, 1962,  2, 19, 12, 15
 3, 1962,  3,  6, 10, 30
 4, 1962,  3, 21, 11, 30
 5, 1962,  4,  5, 15, 34
 6, 1962,  4, 20, 22, 51
 7, 1962,  5,  6,  9,  9
 8, 1962,  5, 21, 22, 16
 9, 1962,  6,  6, 13, 31
10, 1962,  6, 22,  6, 24
11, 1962,  7,  7, 23, 51
12, 1962,  7, 23, 17, 18
13, 1962,  8,  8,  9, 34
14, 1962,  8, 24,  0, 12
15, 1962,  9,  8, 12, 15
16, 1962,  9, 23, 21, 35
17, 1962, 10,  9,  3, 38
18, 1962, 10, 24,  6, 40
19, 1962, 11,  8,  6, 35
20, 1962, 11, 23,  4,  2
21, 1962, 12,  7, 23, 17
22, 1962, 12, 22, 17, 15
23, 1963,  1,  6, 10, 26
24, 1963,  1, 21,  3, 54
 1, 1963,  2,  4, 22,  8
 2, 1963,  2, 19, 18,  9
 3, 1963,  3,  6, 16, 17
 4, 1963,  3, 21, 17, 20
 5, 1963,  4,  5, 21, 19
 6, 1963,  4, 21,  4, 36
 7, 1963,  5,  6, 14, 52
 8, 1963,  5, 22,  3, 58
 9, 1963,  6,  6, 19, 14
10, 1963,  6, 22, 12,  4
11, 1963,  7,  8,  5, 38
12, 1963,  7, 23, 22, 59
13, 1963,  8,  8, 15, 25
14, 1963,  8, 24,  5, 58
15, 1963,  9,  8, 18, 12
16, 1963,  9, 24,  3, 23
17, 1963, 10,  9,  9, 36
18, 1963, 10, 24, 12, 29
19, 1963, 11,  8, 12, 32
20, 1963, 11, 23,  9, 49
21, 1963, 12,  8,  5, 13
22, 1963, 12, 22, 23,  2
23, 1964,  1,  6, 16, 22
24, 1964,  1, 21,  9, 41
 1, 1964,  2,  5,  4,  5
 2, 1964,  2, 19, 23, 57
 3, 1964,  3,  5, 22, 16
 4, 1964,  3, 20, 23, 10
 5, 1964,  4,  5,  3, 18
 6, 1964,  4, 20, 10, 27
 7, 1964,  5,  5, 20, 51
 8, 1964,  5, 21,  9, 50
 9, 1964,  6,  6,  1, 12
10, 1964,  6, 21, 17, 57
11, 1964,  7,  7, 11, 32
12, 1964,  7, 23,  4, 53
13, 1964,  8,  7, 21, 16
14, 1964,  8, 23, 11, 51
15, 1964,  9,  7, 23, 59
16, 1964,  9, 23,  9, 17
17, 1964, 10,  8, 15, 22
18, 1964, 10, 23, 18, 21
19, 1964, 11,  7, 18, 15
20, 1964, 11, 22, 15, 39
21, 1964, 12,  7, 10, 53
22, 1964, 12, 22,  4, 50
23, 1965,  1,  5, 22,  2
24, 1965,  1, 20, 15, 29
 1, 1965,  2,  4,  9, 46
 2, 1965,  2, 19,  5, 48
 3, 1965,  3,  6,  4,  1
 4, 1965,  3, 21,  5,  5
 5, 1965,  4,  5,  9,  7
 6, 1965,  4, 20, 16, 26
 7, 1965,  5,  6,  2, 42
 8, 1965,  5, 21, 15, 50
 9, 1965,  6,  6,  7,  2
10, 1965,  6, 21, 23, 56
11, 1965,  7,  7, 17, 21
12, 1965,  7, 23, 10, 48
13, 1965,  8,  8,  3,  5
14, 1965,  8, 23, 17, 43
15, 1965,  9,  8,  5, 48
16, 1965,  9, 23, 15,  6
17, 1965, 10,  8, 21, 11
18, 1965, 10, 24,  0, 10
19, 1965, 11,  8,  0,  7
20, 1965, 11, 22, 21, 29
21, 1965, 12,  7, 16, 46
22, 1965, 12, 22, 10, 40
23, 1966,  1,  6,  3, 54
24, 1966,  1, 20, 21, 20
 1, 1966,  2,  4, 15, 38
 2, 1966,  2, 19, 11, 38
 3, 1966,  3,  6,  9, 51
 4, 1966,  3, 21, 10, 53
 5, 1966,  4,  5, 14, 56
 6, 1966,  4, 20, 22, 11
 7, 1966,  5,  6,  8, 30
 8, 1966,  5, 21, 21, 32
 9, 1966,  6,  6, 12, 50
10, 1966,  6, 22,  5, 33
11, 1966,  7,  7, 23,  7
12, 1966,  7, 23, 16, 23
13, 1966,  8,  8,  8, 49
14, 1966,  8, 23, 23, 18
15, 1966,  9,  8, 11, 32
16, 1966,  9, 23, 20, 43
17, 1966, 10,  9,  2, 57
18, 1966, 10, 24,  5, 51
19, 1966, 11,  8,  5, 55
20, 1966, 11, 23,  3, 14
21, 1966, 12,  7, 22, 38
22, 1966, 12, 22, 16, 28
23, 1967,  1,  6,  9, 48
24, 1967,  1, 21,  3,  8
 1, 1967,  2,  4, 21, 31
 2, 1967,  2, 19, 17, 24
 3, 1967,  3,  6, 15, 42
 4, 1967,  3, 21, 16, 37
 5, 1967,  4,  5, 20, 45
 6, 1967,  4, 21,  3, 55
 7, 1967,  5,  6, 14, 17
 8, 1967,  5, 22,  3, 18
 9, 1967,  6,  6, 18, 36
10, 1967,  6, 22, 11, 23
11, 1967,  7,  8,  4, 53
12, 1967,  7, 23, 22, 16
13, 1967,  8,  8, 14, 35
14, 1967,  8, 24,  5, 12
15, 1967,  9,  8, 17, 18
16, 1967,  9, 24,  2, 38
17, 1967, 10,  9,  8, 41
18, 1967, 10, 24, 11, 44
19, 1967, 11,  8, 11, 37
20, 1967, 11, 23,  9,  4
21, 1967, 12,  8,  4, 17
22, 1967, 12, 22, 22, 16
23, 1968,  1,  6, 15, 26
24, 1968,  1, 21,  8, 54
 1, 1968,  2,  5,  3,  7
 2, 1968,  2, 19, 23,  9
 3, 1968,  3,  5, 21, 18
 4, 1968,  3, 20, 22, 22
 5, 1968,  4,  5,  2, 21
 6, 1968,  4, 20,  9, 41
 7, 1968,  5,  5, 19, 56
 8, 1968,  5, 21,  9,  6
 9, 1968,  6,  6,  0, 19
10, 1968,  6, 21, 17, 13
11, 1968,  7,  7, 10, 42
12, 1968,  7, 23,  4,  7
13, 1968,  8,  7, 20, 27
14, 1968,  8, 23, 11,  3
15, 1968,  9,  7, 23, 11
16, 1968,  9, 23,  8, 26
17, 1968, 10,  8, 14, 34
18, 1968, 10, 23, 17, 30
19, 1968, 11,  7, 17, 29
20, 1968, 11, 22, 14, 49
21, 1968, 12,  7, 10,  8
22, 1968, 12, 22,  4,  0
23, 1969,  1,  5, 21, 17
24, 1969,  1, 20, 14, 38
 1, 1969,  2,  4,  8, 59
 2, 1969,  2, 19,  4, 54
 3, 1969,  3,  6,  3, 11
 4, 1969,  3, 21,  4,  8
 5, 1969,  4,  5,  8, 15
 6, 1969,  4, 20, 15, 27
 7, 1969,  5,  6,  1, 50
 8, 1969,  5, 21, 14, 50
 9, 1969,  6,  6,  6, 11
10, 1969,  6, 21, 22, 55
11, 1969,  7,  7, 16, 32
12, 1969,  7, 23,  9, 48
13, 1969,  8,  8,  2, 14
14, 1969,  8, 23, 16, 43
15, 1969,  9,  8,  4, 55
16, 1969,  9, 23, 14,  7
17, 1969, 10,  8, 20, 17
18, 1969, 10, 23, 23, 11
19, 1969, 11,  7, 23, 11
20, 1969, 11, 22, 20, 31
21, 1969, 12,  7, 15, 51
22, 1969, 12, 22,  9, 44
23, 1970,  1,  6,  3,  2
24, 1970,  1, 20, 20, 24
 1, 1970,  2,  4, 14, 46
 2, 1970,  2, 19, 10, 42
 3, 1970,  3,  6,  8, 58
 4, 1970,  3, 21,  9, 56
 5, 1970,  4,  5, 14,  2
 6, 1970,  4, 20, 21, 15
 7, 1970,  5,  6,  7, 34
 8, 1970,  5, 21, 20, 37
 9, 1970,  6,  6, 11, 52
10, 1970,  6, 22,  4, 43
11, 1970,  7,  7, 22, 11
12, 1970,  7, 23, 15, 37
13, 1970,  8,  8,  7, 54
14, 1970,  8, 23, 22, 34
15, 1970,  9,  8, 10, 38
16, 1970,  9, 23, 19, 59
17, 1970, 10,  9,  2,  2
18, 1970, 10, 24,  5,  4
19, 1970, 11,  8,  4, 58
20, 1970, 11, 23,  2, 25
21, 1970, 12,  7, 21, 37
22, 1970, 12, 22, 15, 36
23, 1971,  1,  6,  8, 45
24, 1971,  1, 21,  2, 13
 1, 1971,  2,  4, 20, 25
 2, 1971,  2, 19, 16, 27
 3, 1971,  3,  6, 14, 35
 4, 1971,  3, 21, 15, 38
 5, 1971,  4,  5, 19, 36
 6, 1971,  4, 21,  2, 54
 7, 1971,  5,  6, 13,  8
 8, 1971,  5, 22,  2, 15
 9, 1971,  6,  6, 17, 29
10, 1971,  6, 22, 10, 20
11, 1971,  7,  8,  3, 51
12, 1971,  7, 23, 21, 15
13, 1971,  8,  8, 13, 40
14, 1971,  8, 24,  4, 15
15, 1971,  9,  8, 16, 30
16, 1971,  9, 24,  1, 45
17, 1971, 10,  9,  7, 59
18, 1971, 10, 24, 10, 53
19, 1971, 11,  8, 10, 57
20, 1971, 11, 23,  8, 14
21, 1971, 12,  8,  3, 36
22, 1971, 12, 22, 21, 24
23, 1972,  1,  6, 14, 42
24, 1972,  1, 21,  7, 59
 1, 1972,  2,  5,  2, 20
 2, 1972,  2, 19, 22, 11
 3, 1972,  3,  5, 20, 28
 4, 1972,  3, 20, 21, 21
 5, 1972,  4,  5,  1, 29
 6, 1972,  4, 20,  8, 37
 7, 1972,  5,  5, 19,  1
 8, 1972,  5, 21,  7, 59
 9, 1972,  6,  5, 23, 22
10, 1972,  6, 21, 16,  6
11, 1972,  7,  7,  9, 43
12, 1972,  7, 23,  3,  3
13, 1972,  8,  7, 19, 29
14, 1972,  8, 23, 10,  3
15, 1972,  9,  7, 22, 15
16, 1972,  9, 23,  7, 33
17, 1972, 10,  8, 13, 42
18, 1972, 10, 23, 16, 41
19, 1972, 11,  7, 16, 39
20, 1972, 11, 22, 14,  3
21, 1972, 12,  7,  9, 19
22, 1972, 12, 22,  3, 13
23, 1973,  1,  5, 20, 25
24, 1973,  1, 20, 13, 48
 1, 1973,  2,  4,  8,  4
 2, 1973,  2, 19,  4,  1
 3, 1973,  3,  6,  2, 13
 4, 1973,  3, 21,  3, 12
 5, 1973,  4,  5,  7, 14
 6, 1973,  4, 20, 14, 30
 7, 1973,  5,  6,  0, 46
 8, 1973,  5, 21, 13, 54
 9, 1973,  6,  6,  5,  7
10, 1973,  6, 21, 22,  1
11, 1973,  7,  7, 15, 27
12, 1973,  7, 23,  8, 56
13, 1973,  8,  8,  1, 13
14, 1973,  8, 23, 15, 53
15, 1973,  9,  8,  3, 59
16, 1973,  9, 23, 13, 21
17, 1973, 10,  8, 19, 27
18, 1973, 10, 23, 22, 30
19, 1973, 11,  7, 22, 28
20, 1973, 11, 22, 19, 54
21, 1973, 12,  7, 15, 10
22, 1973, 12, 22,  9,  8
23, 1974,  1,  6,  2, 20
24, 1974,  1, 20, 19, 46
 1, 1974,  2,  4, 14,  0
 2, 1974,  2, 19,  9, 59
 3, 1974,  3,  6,  8,  7
 4, 1974,  3, 21,  9,  7
 5, 1974,  4,  5, 13,  5
 6, 1974,  4, 20, 20, 19
 7, 1974,  5,  6,  6, 34
 8, 1974,  5, 21, 19, 36
 9, 1974,  6,  6, 10, 52
10, 1974,  6, 22,  3, 38
11, 1974,  7,  7, 21, 11
12, 1974,  7, 23, 14, 30
13, 1974,  8,  8,  6, 57
14, 1974,  8, 23, 21, 29
15, 1974,  9,  8,  9, 45
16, 1974,  9, 23, 18, 58
17, 1974, 10,  9,  1, 15
18, 1974, 10, 24,  4, 11
19, 1974, 11,  8,  4, 18
20, 1974, 11, 23,  1, 38
21, 1974, 12,  7, 21,  5
22, 1974, 12, 22, 14, 56
23, 1975,  1,  6,  8, 18
24, 1975,  1, 21,  1, 36
 1, 1975,  2,  4, 19, 59
 2, 1975,  2, 19, 15, 50
 3, 1975,  3,  6, 14,  6
 4, 1975,  3, 21, 14, 57
 5, 1975,  4,  5, 19,  1
 6, 1975,  4, 21,  2,  7
 7, 1975,  5,  6, 12, 27
 8, 1975,  5, 22,  1, 24
 9, 1975,  6,  6, 16, 42
10, 1975,  6, 22,  9, 26
11, 1975,  7,  8,  2, 59
12, 1975,  7, 23, 20, 22
13, 1975,  8,  8, 12, 45
14, 1975,  8, 24,  3, 24
15, 1975,  9,  8, 15, 33
16, 1975,  9, 24,  0, 55
17, 1975, 10,  9,  7,  2
18, 1975, 10, 24, 10,  6
19, 1975, 11,  8, 10,  3
20, 1975, 11, 23,  7, 31
21, 1975, 12,  8,  2, 46
22, 1975, 12, 22, 20, 46
23, 1976,  1,  6, 13, 57
24, 1976,  1, 21,  7, 25
 1, 1976,  2,  5,  1, 39
 2, 1976,  2, 19, 21, 40
 3, 1976,  3,  5, 19, 48
 4, 1976,  3, 20, 20, 50
 5, 1976,  4,  5,  0, 46
 6, 1976,  4, 20,  8,  3
 7, 1976,  5,  5, 18, 14
 8, 1976,  5, 21,  7, 21
 9, 1976,  6,  5, 22, 31
10, 1976,  6, 21, 15, 24
11, 1976,  7,  7,  8, 51
12, 1976,  7, 23,  2, 18
13, 1976,  8,  7, 18, 38
14, 1976,  8, 23,  9, 18
15, 1976,  9,  7, 21, 28
16, 1976,  9, 23,  6, 48
17, 1976, 10,  8, 12, 58
18, 1976, 10, 23, 15, 58
19, 1976, 11,  7, 15, 59
20, 1976, 11, 22, 13, 22
21, 1976, 12,  7,  8, 41
22, 1976, 12, 22,  2, 35
23, 1977,  1,  5, 19, 51
24, 1977,  1, 20, 13, 14
 1, 1977,  2,  4,  7, 33
 2, 1977,  2, 19,  3, 30
 3, 1977,  3,  6,  1, 44
 4, 1977,  3, 21,  2, 42
 5, 1977,  4,  5,  6, 46
 6, 1977,  4, 20, 13, 57
 7, 1977,  5,  6,  0, 16
 8, 1977,  5, 21, 13, 14
 9, 1977,  6,  6,  4, 32
10, 1977,  6, 21, 21, 14
11, 1977,  7,  7, 14, 48
12, 1977,  7, 23,  8,  4
13, 1977,  8,  8,  0, 30
14, 1977,  8, 23, 15,  0
15, 1977,  9,  8,  3, 16
16, 1977,  9, 23, 12, 29
17, 1977, 10,  8, 18, 44
18, 1977, 10, 23, 21, 41
19, 1977, 11,  7, 21, 46
20, 1977, 11, 22, 19,  7
21, 1977, 12,  7, 14, 31
22, 1977, 12, 22,  8, 23
23, 1978,  1,  6,  1, 43
24, 1978,  1, 20, 19,  4
 1, 1978,  2,  4, 13, 27
 2, 1978,  2, 19,  9, 21
 3, 1978,  3,  6,  7, 38
 4, 1978,  3, 21,  8, 34
 5, 1978,  4,  5, 12, 39
 6, 1978,  4, 20, 19, 50
 7, 1978,  5,  6,  6,  9
 8, 1978,  5, 21, 19,  8
 9, 1978,  6,  6, 10, 23
10, 1978,  6, 22,  3, 10
11, 1978,  7,  7, 20, 37
12, 1978,  7, 23, 14,  0
13, 1978,  8,  8,  6, 18
14, 1978,  8, 23, 20, 57
15, 1978,  9,  8,  9,  2
16, 1978,  9, 23, 18, 25
17, 1978, 10,  9,  0, 31
18, 1978, 10, 24,  3, 37
19, 1978, 11,  8,  3, 34
20, 1978, 11, 23,  1,  5
21, 1978, 12,  7, 20, 20
22, 1978, 12, 22, 14, 21
23, 1979,  1,  6,  7, 32
24, 1979,  1, 21,  1,  0
 1, 1979,  2,  4, 19, 12
 2, 1979,  2, 19, 15, 13
 3, 1979,  3,  6, 13, 20
 4, 1979,  3, 21, 14, 22
 5, 1979,  4,  5, 18, 18
 6, 1979,  4, 21,  1, 35
 7, 1979,  5,  6, 11, 47
 8, 1979,  5, 22,  0, 54
 9, 1979,  6,  6, 16,  5
10, 1979,  6, 22,  8, 56
11, 1979,  7,  8,  2, 25
12, 1979,  7, 23, 19, 49
13, 1979,  8,  8, 12, 11
14, 1979,  8, 24,  2, 47
15, 1979,  9,  8, 15,  0
16, 1979,  9, 24,  0, 16
17, 1979, 10,  9,  6, 30
18, 1979, 10, 24,  9, 28
19, 1979, 11,  8,  9, 33
20, 1979, 11, 23,  6, 54
21, 1979, 12,  8,  2, 18
22, 1979, 12, 22, 20, 10
23, 1980,  1,  6, 13, 29
24, 1980,  1, 21,  6, 49
 1, 1980,  2,  5,  1,  9
 2, 1980,  2, 19, 21,  2
 3, 1980,  3,  5, 19, 17
 4, 1980,  3, 20, 20, 10
 5, 1980,  4,  5,  0, 15
 6, 1980,  4, 20,  7, 23
